dataset,algorithm,config,recall@10,qps,robustness@0.1,robustness@0.3,robustness@0.5,robustness@0.7,robustness@0.9,map@10,ndcg@10,mrr@10,tail95,tail99,tail999
text2image-10M,puck,"Puck('C1000_F1000_N4_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 200})",0.9173830000000001,20229.92142542602,0.98971,0.98008,0.96582,0.93252,0.82817,88.57354456349205,9.202744027508379,9.548897738095238,0.6,0.0,0.0
text2image-10M,puck,"Puck('C1000_F1000_N4_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 30})",0.700657,71222.98872044796,0.95857,0.90147,0.80775,0.65162,0.3963,61.316474325396825,7.120796540881297,8.31597031746032,0.1,0.0,0.0
text2image-10M,puck,"Puck('C1000_F1000_N4_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 300})",0.940704,13946.597315138766,0.99217,0.98569,0.97639,0.95485,0.88044,91.73299162698412,9.426043814114724,9.670888174603174,0.7,0.1,0.0
text2image-10M,puck,"Puck('C1000_F1000_N4_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 350})",0.948039,12103.760435634536,0.99313,0.98734,0.97971,0.96185,0.8963,92.7282657936508,9.4964729464559,9.710916587301586,0.7,0.2,0.0
text2image-10M,puck,"Puck('C1000_F1000_N4_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 50})",0.778173,49538.87539549094,0.97182,0.93579,0.87551,0.76167,0.53626,70.69438900793651,7.868356502558404,8.781812420634921,0.2,0.0,0.0
text2image-10M,scann,"ScaNN,tree=100/40000,AH2,reorder=150",0.941324,32929.15218367891,0.99996,0.99913,0.99416,0.96946,0.86589,91.5693150793651,9.470987235960928,9.807499801587301,0.7,0.5,0.3
text2image-10M,scann,"ScaNN,tree=100/40000,AH2,reorder=30",0.8035880000000001,32558.357246414667,0.99947,0.9913,0.95087,0.81894,0.48648,74.6284373015873,8.350582314270925,9.631903968253969,0.5,0.3,0.1
text2image-10M,scann,"ScaNN,tree=100/40000,AH2,reorder=500",0.9553309999999999,26457.731758987407,0.99998,0.99958,0.9969,0.98095,0.90329,93.37476861111112,9.586384928787842,9.828274523809522,0.8,0.6,0.3
text2image-10M,scann,"ScaNN,tree=10/40000,AH2,reorder=150",0.780222,60878.217120343914,0.996,0.9639,0.88211,0.74167,0.51557,69.86229968253969,7.873937672993437,8.860020912698413,0.3,0.1,0.0
text2image-10M,scann,"ScaNN,tree=10/40000,AH2,reorder=30",0.688436,55924.24720405698,0.9943,0.94512,0.82353,0.61216,0.30525,59.472898015873014,7.128942270192611,8.72577361111111,0.2,0.1,0.0
text2image-10M,scann,"ScaNN,tree=10/40000,AH2,reorder=500",0.787172,31696.835171173174,0.9961,0.9652,0.88696,0.75053,0.53098,70.66468142857144,7.931147410248634,8.872163095238095,0.3,0.1,0.0
text2image-10M,scann,"ScaNN,tree=30/40000,AH2,reorder=150",0.882604,49139.54619626088,0.99959,0.99392,0.96841,0.89618,0.71704,83.15891638888888,8.888161179718434,9.483358492063493,0.5,0.3,0.1
text2image-10M,scann,"ScaNN,tree=30/40000,AH2,reorder=30",0.763439,48247.32496370785,0.99876,0.98161,0.91455,0.7454,0.41135,69.03127154761906,7.920439488439299,9.32187138888889,0.4,0.2,0.0
text2image-10M,scann,"ScaNN,tree=30/40000,AH2,reorder=500",0.893591,26597.987869178076,0.99965,0.99498,0.97309,0.90873,0.7433,84.50586511904763,8.979038467991174,9.501530912698414,0.5,0.3,0.1
text2image-10M,scann,"ScaNN,tree=33/40000,AH2,reorder=150",0.8889950000000001,41225.392490072074,0.99971,0.99486,0.97231,0.90532,0.73168,84.03890761904763,8.951789339426591,9.521224761904762,0.5,0.3,0.1
text2image-10M,scann,"ScaNN,tree=33/40000,AH2,reorder=30",0.767925,44682.1448431764,0.99892,0.98308,0.91938,0.75345,0.41902,69.63517456349209,7.968325146707595,9.358265952380952,0.4,0.2,0.0
text2image-10M,scann,"ScaNN,tree=33/40000,AH2,reorder=500",0.9002589999999999,39189.67164444071,0.99976,0.99584,0.97679,0.91782,0.75952,85.424313968254,9.04480696871223,9.53965742063492,0.6,0.3,0.1
text2image-10M,scann,"ScaNN,tree=35/40000,AH2,reorder=150",0.8928969999999999,38259.75083159213,0.99973,0.99527,0.97438,0.91081,0.7413,84.59068845238093,8.990889163946585,9.54370361111111,0.6,0.3,0.1
text2image-10M,scann,"ScaNN,tree=35/40000,AH2,reorder=30",0.770617,42604.33165464389,0.99895,0.98385,0.92202,0.7582,0.42399,70.00548361111112,7.997445004141635,9.379682619047617,0.4,0.2,0.0
text2image-10M,scann,"ScaNN,tree=35/40000,AH2,reorder=500",0.9043089999999999,39479.55151693935,0.99979,0.99625,0.97873,0.92307,0.76977,85.99955793650794,9.085183603608273,9.56253126984127,0.6,0.4,0.1
text2image-10M,scann,"ScaNN,tree=40/40000,AH2,reorder=150",0.9009690000000001,39854.53483987886,0.99977,0.99643,0.97894,0.92224,0.76096,85.72797436507939,9.07164570814388,9.59103742063492,0.6,0.4,0.1
text2image-10M,scann,"ScaNN,tree=40/40000,AH2,reorder=30",0.776284,43284.30817101862,0.99911,0.98548,0.92741,0.76957,0.43362,70.78909567460316,8.05866844131085,9.425915158730158,0.4,0.2,0.1
text2image-10M,scann,"ScaNN,tree=40/40000,AH2,reorder=500",0.9128339999999999,25476.520356353878,0.99983,0.99728,0.98307,0.93465,0.79114,87.20161714285715,9.169682813751018,9.610574007936508,0.6,0.4,0.2
text2image-10M,scann,"ScaNN,tree=45/40000,AH2,reorder=150",0.907648,39343.04318800756,0.99986,0.99709,0.98234,0.93074,0.77733,86.66669194444447,9.137345832220573,9.625890873015873,0.6,0.4,0.2
text2image-10M,scann,"ScaNN,tree=45/40000,AH2,reorder=30",0.78085,47053.87682268672,0.99928,0.98668,0.93127,0.77775,0.44186,71.41424642857143,8.107128672970244,9.460191746031748,0.4,0.2,0.1
text2image-10M,scann,"ScaNN,tree=45/40000,AH2,reorder=500",0.919754,24369.394653844593,0.9999,0.99783,0.98616,0.94322,0.80843,88.17792968253968,9.237416499245866,9.646000277777778,0.6,0.4,0.2
text2image-10M,scann,"ScaNN,tree=50/40000,AH2,reorder=150",0.913184,40013.3177260269,0.9999,0.99752,0.98479,0.93749,0.79178,87.44812841269841,9.191795793384047,9.655830357142857,0.6,0.4,0.2
text2image-10M,scann,"ScaNN,tree=50/40000,AH2,reorder=30",0.784745,42224.538329682495,0.99936,0.98765,0.93506,0.78489,0.44879,71.94682142857143,8.148302592294153,9.489674484126983,0.4,0.2,0.1
text2image-10M,scann,"ScaNN,tree=50/40000,AH2,reorder=500",0.9255789999999999,35496.42133314015,0.99993,0.99821,0.98861,0.94988,0.82382,89.00476408730161,9.294268990179338,9.676370833333333,0.6,0.4,0.2
text2image-10M,scann,"ScaNN,tree=80/40000,AH2,reorder=150",0.93363,37572.646157884155,0.99993,0.99889,0.99212,0.9618,0.84526,90.4225561904762,9.394405260690725,9.76518880952381,0.7,0.5,0.2
text2image-10M,scann,"ScaNN,tree=80/40000,AH2,reorder=30",0.798535,37701.75132346567,0.99949,0.99041,0.94719,0.80931,0.47604,73.89465873015874,8.295577599355957,9.591467142857145,0.4,0.3,0.1
text2image-10M,scann,"ScaNN,tree=80/40000,AH2,reorder=500",0.947256,30747.143963029863,0.99996,0.99938,0.99525,0.97383,0.88148,92.16401583333334,9.50670088416755,9.786147103174603,0.7,0.5,0.3
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 100, 'T': 64}))",0.914026,9398.656206097547,0.98198,0.97148,0.95808,0.92833,0.83331,88.469475515873,9.166234798134198,9.482433293650793,0.5,0.0,0.0
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 120, 'T': 64}))",0.9265319999999999,8318.017477398755,0.98462,0.97567,0.96494,0.94077,0.85901,90.10342746031746,9.286981641252371,9.557472063492062,0.6,0.0,0.0
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 150, 'T': 64}))",0.9399,7285.846087981385,0.98752,0.98028,0.97172,0.9536,0.88631,91.86096571428573,9.416040897620906,9.636703293650793,0.7,0.0,0.0
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 200, 'T': 64}))",0.9540559999999999,5914.933652553013,0.99049,0.98501,0.97902,0.96602,0.91529,93.73660277777776,9.552492359804424,9.718583452380953,0.8,0.1,0.0
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 20, 'T': 64}))",0.7319519999999999,22878.68238813877,0.93351,0.88821,0.82226,0.7072,0.49463,65.99835642857144,7.3929504397886285,8.289927619047619,0.0,0.0,0.0
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 30, 'T': 64}))",0.790235,17622.267150004453,0.95085,0.91964,0.87361,0.78344,0.5933,72.93664575396825,7.963738192205487,8.696072936507935,0.1,0.0,0.0
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 50, 'T': 64}))",0.852061,12877.877992515652,0.96741,0.94751,0.91905,0.85994,0.70938,80.57060174603174,8.56610986055892,9.099613531746032,0.2,0.0,0.0
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 70, 'T': 64}))",0.885061,11273.679125105491,0.97534,0.96037,0.94065,0.89781,0.77449,84.74412765873015,8.885699074438566,9.305421825396825,0.4,0.0,0.0
text2image-10M,diskann,"diskann(('R64_L500', {'Ls': 85, 'T': 64}))",0.901582,9642.048237321562,0.97913,0.96662,0.95062,0.91571,0.80828,86.86965769841268,9.04617774810176,9.407477301587301,0.5,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 128, 'efConstruction': 500}, ef: 1024)",0.982445,1089.4662447532587,0.99576,0.99359,0.99164,0.9884,0.97387,97.58438599206349,9.826386003335756,9.882904563492062,0.9,0.6,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 128, 'efConstruction': 500}, ef: 128)",0.898509,7443.025101743694,0.97514,0.96095,0.94333,0.90921,0.81111,86.61336757936509,9.005040998692744,9.338585317460318,0.4,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 128, 'efConstruction': 500}, ef: 2048)",0.9917239999999999,521.7691373144263,0.99813,0.99724,0.99635,0.99517,0.98903,98.83935623015873,9.918117198632068,9.945413253968255,1.0,0.8,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 128, 'efConstruction': 500}, ef: 256)",0.94033,3777.4292159586275,0.98564,0.9781,0.96936,0.95194,0.89293,91.98201531746034,9.413617767187654,9.610754801587301,0.7,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 128, 'efConstruction': 500}, ef: 32)",0.746171,16286.609257617816,0.93152,0.88379,0.82208,0.72303,0.54146,68.11804293650793,7.519629556401419,8.317251547619048,0.0,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 128, 'efConstruction': 500}, ef: 4096)",0.996157,247.5391429166336,0.99921,0.99883,0.99845,0.99796,0.99558,99.44906408730158,9.961808402681344,9.974881944444448,1.0,0.9,0.1
text2image-10M,faiss_hnsw,"faiss ({'M': 128, 'efConstruction': 500}, ef: 512)",0.966511,1948.5869654583266,0.99186,0.9878,0.98353,0.97561,0.94398,95.44180448412698,9.669520875552557,9.777623928571428,0.8,0.1,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 128, 'efConstruction': 500}, ef: 64)",0.8363630000000001,11276.349061320047,0.95886,0.93285,0.89947,0.8376,0.69415,78.84603321428571,8.398217573122617,8.93022626984127,0.1,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 16, 'efConstruction': 500}, ef: 1024)",0.931349,1574.0551229277596,0.98721,0.9808,0.97296,0.95368,0.86907,90.2845330952381,9.320672497847072,9.570754761904762,0.7,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 16, 'efConstruction': 500}, ef: 128)",0.737367,12896.469273975255,0.92635,0.88416,0.82466,0.72164,0.51381,66.62084912698413,7.42011986512539,8.227780793650792,0.0,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 16, 'efConstruction': 500}, ef: 2048)",0.958933,781.2033813559788,0.99383,0.99081,0.98728,0.97912,0.92548,93.94475559523809,9.591536576584867,9.748637857142855,0.8,0.3,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 16, 'efConstruction': 500}, ef: 256)",0.825286,8719.371425867723,0.95589,0.93233,0.90081,0.83489,0.66316,77.0034167857143,8.279991072614633,8.84800765873016,0.1,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 16, 'efConstruction': 500}, ef: 32)",0.475967,32316.986160949426,0.79988,0.67187,0.53748,0.37868,0.19166,38.488346626984125,4.843241715177431,6.129682579365079,0.0,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 16, 'efConstruction': 500}, ef: 4096)",0.975386,273.70839167215195,0.99748,0.99617,0.9947,0.99136,0.96007,96.20541063492061,9.754201620129143,9.855248293650796,0.9,0.7,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 16, 'efConstruction': 500}, ef: 512)",0.887762,3432.955321466907,0.97491,0.96228,0.94583,0.90771,0.78118,84.71502944444444,8.892287249463575,9.27698119047619,0.4,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 16, 'efConstruction': 500}, ef: 64)",0.620809,26980.105511969254,0.87862,0.80271,0.70597,0.56594,0.3491,53.58918484126984,6.2760501545395435,7.3469275,0.0,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 32, 'efConstruction': 500}, ef: 1024)",0.974376,1306.7182203685602,0.99442,0.99148,0.98854,0.98332,0.95969,96.43077484126981,9.747110642363316,9.835226865079365,0.9,0.4,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 32, 'efConstruction': 500}, ef: 128)",0.8567579999999999,8648.765816335757,0.96088,0.9412,0.91525,0.86641,0.73345,81.39167472222222,8.597987701444126,9.063088214285715,0.2,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 32, 'efConstruction': 500}, ef: 2048)",0.9873730000000001,660.76059144474,0.99767,0.99638,0.99509,0.99304,0.98284,98.1849271031746,9.87515274715714,9.921361944444445,0.9,0.8,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 32, 'efConstruction': 500}, ef: 256)",0.91464,4638.000035871678,0.97756,0.96722,0.95486,0.92931,0.84414,88.63975353174604,9.161706777097185,9.441508650793653,0.5,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 32, 'efConstruction': 500}, ef: 32)",0.64981,20716.136646456645,0.88626,0.81512,0.7295,0.60499,0.40319,57.236525158730146,6.56713281908571,7.555602182539682,0.0,0.0,0.0
text2image-10M,faiss_hnsw,"faiss ({'M': 32, 'efConstruction': 500}, ef: 4096)",0.9940009999999999,254.40082328863232,0.99923,0.99872,0.99818,0.99752,0.99342,99.10427670634921,9.940859626987981,9.965053452380953,1.0,0.9,0.1
