algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
Zilliz,ip_L_500_R_48_buildthreads_64_ef_102,0.837470,0.984540,0.971520,0.945290,0.855390,0.520990,53016.57
Zilliz,ip_L_500_R_48_buildthreads_64_ef_104,0.841710,0.984860,0.972160,0.946770,0.858810,0.532810,52338.36
Zilliz,ip_L_500_R_48_buildthreads_64_ef_106,0.845300,0.985170,0.972660,0.948020,0.862080,0.542600,51477.81
Zilliz,ip_L_500_R_48_buildthreads_64_ef_108,0.848525,0.985490,0.973290,0.949280,0.865810,0.550830,50617.41
Zilliz,ip_L_500_R_48_buildthreads_64_ef_110,0.851261,0.985710,0.973770,0.950290,0.868740,0.558770,50048.68
Zilliz,ip_L_500_R_48_buildthreads_64_ef_115,0.857230,0.986340,0.974800,0.952780,0.875990,0.575810,48380.94
Zilliz,ip_L_500_R_48_buildthreads_64_ef_120,0.862365,0.986900,0.975860,0.954880,0.882170,0.591670,46505.59
Zilliz,ip_L_500_R_48_buildthreads_64_ef_150,0.885741,0.989070,0.980100,0.965030,0.910840,0.667150,38934.99
Zilliz,ip_L_500_R_48_buildthreads_64_ef_180,0.902914,0.990740,0.983590,0.971980,0.930900,0.721570,33215.04
Zilliz,ip_L_500_R_48_buildthreads_64_ef_20,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,59614.36
Zilliz,ip_L_500_R_48_buildthreads_64_ef_200,0.911750,0.991540,0.985060,0.975080,0.940160,0.750310,30525.64
Zilliz,ip_L_500_R_48_buildthreads_64_ef_30,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,60178.20
Zilliz,ip_L_500_R_48_buildthreads_64_ef_40,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,60090.79
Zilliz,ip_L_500_R_48_buildthreads_64_ef_50,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,59889.17
Zilliz,ip_L_500_R_48_buildthreads_64_ef_60,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,60185.00
Zilliz,ip_L_500_R_48_buildthreads_64_ef_70,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,60229.20
Zilliz,ip_L_500_R_48_buildthreads_64_ef_90,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,59285.74
Zilliz,ip_L_500_R_48_buildthreads_64_ef_95,0.832390,0.984200,0.970860,0.943850,0.851350,0.506840,59519.59
