algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_90,0.928517,0.994576,0.983831,0.967697,0.934814,0.852504,18045.87
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_100_reorder_10,0.523400,0.998806,0.974417,0.749557,0.117444,0.002388,22194.95
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_100_reorder_150,0.939961,0.999761,0.997271,0.990040,0.961830,0.855506,18973.86
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_100_reorder_30,0.837396,0.999727,0.996009,0.974758,0.872152,0.556351,19366.37
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_10_reorder_10,0.531085,0.993996,0.945866,0.732194,0.214354,0.011086,43829.04
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_10_reorder_150,0.834190,0.995907,0.973018,0.919293,0.820030,0.625802,32022.04
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_10_reorder_30,0.776085,0.995668,0.969982,0.901112,0.758869,0.470630,35170.51
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_120_reorder_10,0.522111,0.998908,0.974553,0.748908,0.110213,0.002013,19940.62
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_120_reorder_150,0.944436,0.999864,0.997646,0.991199,0.966196,0.867922,15594.38
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_120_reorder_30,0.839507,0.999829,0.996418,0.976054,0.875699,0.560308,20219.60
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_150_reorder_10,0.520603,0.998943,0.974928,0.747135,0.103152,0.001740,17521.79
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_150_reorder_150,0.950038,0.999898,0.998192,0.992939,0.971722,0.882521,13050.86
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_150_reorder_30,0.842107,0.999864,0.996828,0.978544,0.879417,0.566210,17709.44
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_20_reorder_10,0.531174,0.997032,0.960909,0.744952,0.181846,0.006822,29903.36
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_20_reorder_150,0.877279,0.998294,0.986970,0.955315,0.879554,0.711284,22788.81
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_20_reorder_30,0.803548,0.998192,0.984445,0.936042,0.807136,0.504605,26729.25
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_30_reorder_10,0.529779,0.997783,0.966673,0.748704,0.164074,0.005219,38243.17
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_30_reorder_150,0.897326,0.998977,0.991370,0.969948,0.907593,0.754127,26492.45
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_30_reorder_30,0.815258,0.998840,0.989016,0.951801,0.828114,0.520808,30583.83
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_35_reorder_10,0.529097,0.997987,0.968891,0.750068,0.156365,0.004912,35796.18
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_35_reorder_150,0.904144,0.999181,0.992803,0.973769,0.917929,0.769205,26463.56
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_35_reorder_30,0.818949,0.999045,0.990551,0.956508,0.835107,0.526504,30151.08
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_40_reorder_10,0.528578,0.998158,0.969812,0.750409,0.151555,0.004639,34133.80
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_40_reorder_150,0.909657,0.999215,0.993621,0.976668,0.924512,0.783258,26444.56
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_40_reorder_30,0.822148,0.999113,0.991609,0.959783,0.840019,0.533156,28570.16
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_45_reorder_10,0.528377,0.998397,0.971006,0.751092,0.148724,0.004162,32513.54
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_45_reorder_150,0.914449,0.999318,0.994303,0.979022,0.931027,0.794788,22681.62
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_45_reorder_30,0.824785,0.999250,0.992461,0.962410,0.844965,0.537352,24858.57
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_50_reorder_10,0.527790,0.998533,0.971756,0.751637,0.143710,0.004059,31643.52
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_50_reorder_150,0.918089,0.999454,0.994815,0.980591,0.935121,0.802736,21505.70
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_50_reorder_30,0.826671,0.999386,0.993041,0.964456,0.849263,0.540422,24437.52
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_80_reorder_10,0.524666,0.998670,0.973564,0.749727,0.124369,0.002899,25068.67
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_80_reorder_150,0.933497,0.999591,0.996487,0.987515,0.953814,0.839746,21005.39
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_80_reorder_30,0.834248,0.999557,0.995190,0.972029,0.865602,0.550996,19640.74
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_10,0.695122,0.911448,0.846910,0.776573,0.667997,0.476327,386590.76
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_100,0.946585,0.993621,0.986901,0.976873,0.954052,0.890981,77372.50
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_20,0.806754,0.955383,0.917144,0.870890,0.795027,0.642652,245082.25
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_30,0.856004,0.971551,0.946343,0.911823,0.851583,0.724690,191295.59
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_40,0.884797,0.979840,0.961318,0.934575,0.884193,0.774594,156901.45
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_50,0.903646,0.984445,0.970119,0.948868,0.905956,0.807921,134066.12
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_60,0.917076,0.987856,0.975781,0.958112,0.921033,0.833402,116318.98
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_70,0.926862,0.989664,0.979636,0.964524,0.931983,0.852367,104800.76
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_80,0.934578,0.991438,0.982672,0.969505,0.940442,0.867649,89617.03
Zilliz,euclidean_L_500_R_32_buildthreads_64_ef_90,0.941169,0.992734,0.985230,0.973871,0.947878,0.880031,77685.40
